"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6794","login and add product from phone to cart and purchase","chromium","2026-09-14","passed","2026-09-14","","placeorder.spec.js","",""
"","2185","Verify Login with Invalid Username and Valid Password shef, shefeena123","chromium","2026-09-14","passed","2026-09-14","","login.spec.js","",""
"","3771","login with valid credential and logout","chromium","2026-09-14","passed","2026-09-14","","signout.spec.js","",""
"","8773","Remove Product From Cart","chromium","2026-09-14","passed","2026-09-14","","demoblazetestcase.spec.js","",""
"","1651","Sign up","chromium","2026-09-14","passed","2026-09-14","","signup.spec.js","",""
"","6476","login and add product from Monitors to cart and purchase","chromium","2026-09-14","passed","2026-09-14","","placeorder.spec.js","",""
"","6937","Login and add product tocart","chromium","2026-09-14","passed","2026-09-14","","placeorder.spec.js","",""
"","4691","Login with valid credentials","chromium","2026-09-14","passed","2026-09-14","","login.spec.js","",""
"","3665","Login with invalid username and invalid password shef,shefee","chromium","2026-09-14","passed","2026-09-14","","login.spec.js","",""
"","2483","Verify Login with Invalid Username and inValid Password shefeena, shefeena","chromium","2026-09-14","passed","2026-09-14","","login.spec.js","",""
"","1817","sign up and click close","chromium","2026-09-14","passed","2026-09-14","","signup.spec.js","",""
